pre,post,weight
10001,10010,1
10001,10091,5
10001,10106,9
10001,10117,8
10001,10128,12
10001,10146,1
10001,10173,4
10001,10184,2
10001,10246,15
10001,10257,2
10001,10283,18
10001,10297,1
10001,10315,3
10001,10570,1
10001,10580,8
10001,10584,9
10001,10588,1
10001,10728,5
10001,10923,10
10001,10925,3
10001,10957,2
10001,10992,1
10001,11101,1
10001,11133,13
10001,11205,3
10001,11272,2
10001,11361,5
10001,11391,23
10001,11397,4
10001,11507,1
10001,11572,9
10001,11782,4
10001,11826,1
10001,11832,3
10001,12041,6
10001,12053,1
10001,12129,1
10001,12184,1
10001,12215,2
10001,12275,3
10001,12419,1
10001,12614,2
10001,12628,9
10001,12857,1
10001,13114,3
10001,13122,4
10001,13600,1
10001,13794,1
10001,13825,5
10001,14017,1
10001,14091,2
10001,14899,7
10001,15261,1
10001,15323,1
10001,15331,1
10001,15414,3
10001,15665,4
10001,15733,2
10001,15959,1
10001,16445,6
10001,16459,2
10001,16482,1
10001,16628,1
10001,16931,1
10001,17144,8
10001,17284,1
10001,17416,2
10001,17527,1
10001,17584,1
10001,17616,2
10001,18090,2
10001,18940,1
10001,19634,1
10001,20269,1
10001,20338,2
10001,20535,1
10001,21151,1
10001,21336,1
10001,21548,1
10001,21562,1
10001,21641,1
10001,21804,1
10001,22034,2
10001,22309,1
10001,22328,1
10001,23590,1
10001,27620,3
10001,29523,1
10001,30480,1
10001,31334,1
10001,31784,3
10001,31964,1
10001,33474,3
10001,34869,3
10001,36717,2
10001,46221,2
10001,76637,1
10001,512121,4
10001,516980,1
10001,519415,3
10001,520628,1
10001,521377,1
10001,521675,1
10001,523643,5
10001,523875,1
10001,523921,6
10001,524789,1
10001,527694,2
10001,527699,3
10001,527704,2
10001,529031,3
10001,530085,1
10001,531983,3
10001,531985,3
10001,534038,3
10001,534040,1
10001,800146,70
10001,801828,3
10001,802401,3
10001,803986,1
10001,806876,14
10001,807265,4
10001,808023,4
10001,808257,4
10001,903327,2
10001,926518,5
10005,10030,15
10005,10031,1
10005,10070,38
10005,10109,12
10005,10148,1
10005,10167,1
10005,10192,169
10005,10203,1
10005,10212,3
10005,10239,1
10005,10328,1
10005,10333,11
10005,10442,23
10005,10636,12
10005,10760,3
10005,10774,1
10005,10850,3
10005,10868,1
10005,10872,1
10005,10920,41
10005,10971,81
10005,11199,1
10005,11338,47
10005,11397,1
10005,11416,1
10005,11441,18
10005,11472,1
10005,11571,4
10005,11610,1
10005,11723,1
10005,11750,24
10005,11795,24
10005,12084,1
10005,12174,1
10005,12232,1
10005,12391,18
10005,12829,1
10005,12830,5
10005,12990,1
10005,13050,8
10005,13084,201
10005,13240,1
10005,13289,28
10005,13291,6
10005,13501,24
10005,13534,7
10005,13538,2
10005,13975,1
10005,14230,1
10005,14373,14
10005,14411,1
10005,14608,3
10005,15876,2
10005,16259,1
10005,16364,1
10005,17461,1
10005,17908,17
10005,18026,4
10005,18138,1
10005,18187,1
10005,18335,1
10005,18800,1
10005,19283,20
10005,19508,3
10005,19554,1
10005,19563,2
10005,19686,9
10005,19968,2
10005,20836,1
10005,22397,1
10005,23775,82
10005,23787,2
10005,30194,18
10005,37829,1
10005,38847,310
10005,51658,110
10005,60980,1
10005,89545,22
10005,514764,2
10005,516361,1
10005,516362,11
10005,516911,11
10005,517098,3
10005,517465,5
10005,518450,38
10005,519413,74
10005,519461,261
10005,519592,1
10005,519624,245
10005,519724,1
10005,519926,3
10005,520117,93
10005,521190,48
10005,521783,1
10005,522472,40
10005,523317,3
10005,523769,297
10005,525958,4
10005,530941,2
10005,532909,3
10005,581131,11
10010,10001,1
10010,10017,12
10010,10074,17
10010,10091,15
10010,10106,90
10010,10128,4
10010,10146,1
10010,10147,2
10010,10197,1
10010,10228,3
10010,10246,18
10010,10252,1
10010,10257,2
10010,10259,8
10010,10263,4
10010,10283,2
10010,10315,2
10010,10361,2
10010,10417,10
10010,10580,19
10010,10709,1
10010,10739,4
10010,10780,5
10010,10992,8
10010,11091,1
10010,11133,4
10010,11252,2
10010,11272,10
10010,11361,3
10010,11378,1
10010,11391,14
10010,11508,1
10010,11509,1
10010,11572,8
10010,11677,6
10010,11790,4
10010,11826,4
10010,11832,1
10010,11927,3
10010,12053,4
10010,12395,1
10010,12427,2
10010,12614,4
10010,12628,5
10010,13261,1
10010,13274,5
10010,13341,2
10010,13472,4
10010,13826,1
10010,14106,2
10010,14168,1
10010,14899,14
10010,14998,4
10010,15018,1
10010,15052,2
10010,15791,1
10010,15861,1
10010,16475,1
10010,16482,3
10010,16568,1
10010,16931,2
10010,17357,1
10010,17375,1
10010,17584,1
10010,18396,3
